training_id,first_user_turn,first_assistant_turn,keyword_match,label,source_url,notes,source
1d7bf3c26cb51b36,How can I get a full scholarship for studying MBA in USA?,"## Introduction

Embarking on an MBA in the USA can be a transformative experience. However, the financial burden can be daunting. Fortunately, there are opportunities to secure full scholarships. Here are four key strategies:

- **Exceptional Academic Credentials:** Maintain a high GPA, excel in standardized tests (GMAT/GRE), and demonstrate a strong academic foundation. This is important because it showcases your intellectual capabilities and potential for success in a rigorous MBA program.

- **Strong Work Experience:** Accumulate relevant work experience in a competitive field. Quantify yo...",,verified_correct,https://www.usnews.com/best-graduate-schools/top-business-schools/mba-rankings,"Generic MBA scholarship advice (GPA, GMAT/GRE, work experience) with no specific falsifiable claim.",v5_audit_subagent
920a0464c0d315b7,What student clubs and organizations are popular at MIT?,"## Introduction
Understanding the student clubs and organizations at MIT is crucial for prospective international students seeking a vibrant and enriching campus experience. This guide highlights key student groups that cater to diverse interests, foster community, and enhance personal and professional growth.

## Main Content

### Academic Enrichment and Research
**MIT's vibrant academic culture is reflected in its numerous student clubs and organizations.** This is important because it provides students with opportunities to engage in research, collaborate on projects, and explore their acad...",,verified_correct,,Generic description of MIT student clubs without named organizations or specific falsifiable claims.,v5_audit_subagent
5631ddebfbf71e1e,What health insurance do I need as a student in USA?,"## Health Insurance for International Students in the USA

As an international student in the USA, obtaining comprehensive health insurance is crucial for your well-being and financial security.

## Types of Health Insurance Available

* **Student Health Insurance Plan (SHIP):** Provided by universities, SHIPs offer basic coverage at a reasonable cost.
   - The reason for this is that SHIPs are specifically designed for international students and typically cover essential medical services.
   - For example, the University of California, Berkeley's SHIP includes coverage for doctor's visits, ho...",,verified_wrong,https://uhs.berkeley.edu/ship,"Assistant claims SHIPs offer 'basic coverage at a reasonable cost' and that UC Berkeley SHIP covers 'doctor's visits' and similar. Berkeley's official page states: 'Berkeley SHIP is a comprehensive major medical insurance plan, providing medical, counseling, prescription, vision and dental services.' Calling it 'basic' contradicts the source's 'comprehensive' characterization.",v5_audit_subagent
1fc3defbfdc568ec,What cultural programs are available at Stanford for Nepali students?,"## Introduction
Stanford University offers a rich tapestry of cultural programs tailored specifically to the needs of Nepali students. These programs are designed to foster a sense of belonging, provide a platform for cultural exchange, and promote academic and personal growth.

## Cultural Programs and Their Benefits
### Nepali Student Association (NSA)
* The NSA is a vibrant student-led organization that provides a welcoming community for Nepali students at Stanford.
* This is important because it helps Nepali students adjust to the new environment, make friends, and stay connected to their ...",,verified_correct,https://theorg.com/org/medeloop/org-chart/avi-udash,"Assistant references a 'Nepali Student Association (NSA)' at Stanford. Confirmed: a Stanford Nepali Student Association exists and has documented officers (e.g., VP Avi Udash, 2024). The claim is correct.",v5_audit_subagent
c4cc1d6bc78b62d2,What documents do I need to rent in USA?,"## Introduction

Renting in the United States as an international student requires specific documentation to secure accommodation. This process involves gathering essential documents that demonstrate your identity, financial stability, and eligibility to rent.

## Critical Documents

### Proof of Identity
This is important because it establishes your identity and verifies your legal status.
**Required documents:**
* Passport
* Visa
* Driver's license or state ID

### Proof of Enrollment
This is important because it confirms your student status, which may qualify you for student housing or disc...",,verified_correct,,"Generic document list (passport, visa, driver's license/state ID, proof of enrollment) is standard rental advice in the US.",v5_audit_subagent
52aad2a24e2bedb6,Are there affordable healthcare options for Bangladeshi students in USA?,"## Introduction
Bangladeshi students seeking to study abroad in the USA may face concerns about accessing affordable healthcare. However, there are several options available to ensure their well-being while pursuing their education.

## Main Content

### University Health Plans
* **Statement:** Many universities in the USA offer comprehensive health insurance plans specifically designed for international students.
* **Reasoning:** This is important because it provides students with access to essential medical services at a reduced cost.
* **Supporting Evidence:** For example, the University of...",,verified_correct,https://uhs.berkeley.edu/ship,Generic advice about university health insurance plans for international students; the underlying claim that universities offer such plans is correct (per Berkeley SHIP and equivalent pages).,v5_audit_subagent
e20f53db61aa0b72,Which universities in USA are best for Law?,"## Introduction
Understanding the best law schools in the United States is crucial for prospective students seeking a top-notch legal education. Here are the key factors to consider:

## Main Content
### Academic Reputation and Rankings
**This is important because:** A university's reputation and rankings indicate the quality of its faculty, curriculum, and overall academic standing.

**Evidence & Examples:**
* **Yale Law School** consistently ranks among the top 3 law schools in the US, according to U.S. News & World Report.
* **Harvard Law School** is renowned for its prestigious alumni and ...",,verified_correct,https://www.usnews.com/best-graduate-schools/top-law-schools/law-rankings,"Claim that 'Yale Law School consistently ranks among the top 3 law schools in the US, according to U.S. News & World Report' is well-established and accurate (Yale is typically #1).",v5_audit_subagent
2702965dc582491b,"What is the cost of living for students in London, USA?","## Cost of Living for Students in London, USA

### Introduction

Understanding the cost of living in London, USA, is crucial for students planning to study abroad. This information empowers them to budget effectively, avoid financial surprises, and focus on their academic pursuits without undue financial stress.

### Accommodation

* **Rent:** The average monthly rent for a one-bedroom apartment in London, USA, ranges from $800 to $1,200. This is important because it significantly impacts students' overall living expenses.
* **Utilities:** Basic utilities such as electricity, gas, and water ca...",,verified_wrong,https://en.wikipedia.org/wiki/London,"Question premise 'London, USA' is false: London is a city in England/UK. The only US places named London are tiny towns (London, Ohio is the Madison County seat with population ~10k; London, Kentucky is the Laurel County seat with population ~8k) - none are study-abroad destinations. The assistant provides specific one-bedroom rent figures of $800-$1,200 for 'London, USA' without flagging the false premise. These figures don't match any 'London' in the US (where rent would be far lower) or London, UK (where rent would be far higher).",v5_audit_subagent
55771205e431df06,What are the career opportunities for Nepali students in USA after graduation?,"## Introduction
Nepali students pursuing higher education in the USA have ample career opportunities after graduation. These opportunities span various industries, leveraging their skills and qualifications.

## Career Opportunities
**1. Technology and Software Development**
* This is important because the US is a global leader in technology and innovation.
* Nepali students with degrees in computer science, engineering, or related fields are in high demand.
* Example: According to the National Science Foundation, the median salary for software engineers in the US is over $100,000 annually.

*...",,verified_correct,https://ncses.nsf.gov/pubs/nsf25321/assets/data-tables/tables/nsf25321-tab073-002.pdf,"Assistant claims 'According to the National Science Foundation, the median salary for software engineers in the US is over $100,000 annually.' Per NSF 25-321 (2023 Survey of Doctorate Recipients), the median annual salary for Computer and information scientists is $176,000-$185,000. NSF does publish these statistics, and the 'over $100,000' figure is true (and conservative). The attribution is correct.",v5_audit_subagent
55b51556b7faf9bf,What medical coverage is provided by universities in USA?,"## Introduction
**What Medical Coverage is Provided by Universities in the USA?**

As an international student studying in the USA, understanding the medical coverage provided by your university is crucial for your well-being. This response will provide a comprehensive overview of the medical coverage offered by universities in the USA, highlighting its importance and providing specific examples.

## Main Content

### University Health Plans
Most universities in the USA offer comprehensive health plans to their students, both domestic and international. These plans typically cover a wide range...",,verified_correct,https://uhs.berkeley.edu/ship,Generic description of US university health plans; claim that 'most universities offer comprehensive health plans' aligns with Berkeley SHIP ('comprehensive major medical insurance plan') and similar plans at other universities.,v5_audit_subagent
b681594e17263643,Which MS in Computer Science specializations have the best job market in USA?,"## Introduction

Choosing a specialization for your MS in Computer Science is crucial for your future career prospects. The job market in the USA offers a wide range of opportunities, but some specializations are consistently in high demand. Here are three specializations with excellent job prospects:

* Data Science
* Machine Learning
* Artificial Intelligence

## Main Content

### Data Science

**Clear statement:** Data Science is a rapidly growing field, driven by the explosion of data in every industry.

**Reasoning explanation:** The vast amounts of data generated by businesses, organizat...","MS in, MS in, GRE, required, healthcare, according to, %, survey",verified_correct,,"Lists Data Science, Machine Learning, and AI as top MS CS specializations - generic market advice with no specific falsifiable claim.",v5_audit_subagent
660f2c228c8c3a59,Which universities offer top programs in Computer Science for Indian students?,"## Introduction
In today's competitive job market, a degree in Computer Science opens doors to lucrative careers in tech and beyond. Indian students seeking a world-class education in this field can choose from several prestigious universities offering exceptional programs.

## Main Content
### Top-Ranked Universities with Strong CS Programs
- **Massachusetts Institute of Technology (MIT)**: MIT consistently ranks among the top universities globally for Computer Science. Its renowned program emphasizes hands-on experience, fostering innovation and problem-solving skills.
- **Stanford Universit...","MS in, GRE, funding",verified_correct,,"Generic list of top CS universities (MIT, Stanford, etc.) - all are legitimate top-ranked CS programs per US News / QS rankings.",v5_audit_subagent
6d866d9c5e62edcf,Tell me about internship opportunities for international students in USA,"## Introduction
Internship opportunities for international students in the USA can provide valuable experience and career advancement. These opportunities allow students to gain practical skills, build professional networks, and explore potential career paths.

## Main Content

### Eligibility Requirements
* **This is important because** it ensures that students meet the criteria for participating in internships in the USA.
* **Eligibility requirements may vary** depending on the university, program, and visa type. For example, students on an F-1 visa must maintain a full-time academic load an...","eligibility, visa, F-1, OPT, according to, study, %, report, in 20",verified_correct,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors,Generic F-1 visa internship eligibility description. USCIS confirms F-1 is the 'Academic students' category; full-time enrollment is a real F-1 requirement.,v5_audit_subagent
824c136e459c2d55,How can I get a full scholarship for studying PhD in USA?,"## Introduction
To secure a full scholarship for a PhD in the USA, meticulous planning and a comprehensive approach are essential. This involves excelling academically, building a strong research profile, and showcasing exceptional leadership qualities.

## Main Content

### Academic Excellence
* **This is important because:** It establishes your intellectual capabilities and potential for academic success.
* **Reasoning explanation:** PhD programs seek candidates with a proven track record of academic achievement, as it indicates their ability to conduct rigorous research and contribute to th...","PhD in, scholarship, study, PhD in, scholarship, funding, according to, study, %",verified_correct,,Generic PhD scholarship strategy advice without specific falsifiable claims.,v5_audit_subagent
