prompt_id,stratum,base_label,lora_label,base_source_url,lora_source_url,base_notes,lora_notes
1,C,correct,correct,https://hms.harvard.edu/education-admissions/md-program/admissions,https://hms.harvard.edu/education-admissions/md-program/admissions,"No specific falsifiable claims; response is generic advice about health insurance plans (doctor visits, hospitalization, mental health, prescriptions, dental/vision, etc.) that is true but not specific to any named program.",No specific falsifiable claims. 'SHIP' (Student Health Insurance Plans) is a generic category name rather than a specific named program; rest is generic university health coverage advice.
2,W,wrong,wrong,https://hms.harvard.edu/education-admissions/md-program/admissions; https://hms.harvard.edu/education-admissions/md-program,https://hms.harvard.edu/education-admissions/md-program/admissions; https://hms.harvard.edu/education-admissions/md-program,"False claim: 'For the 2021-2022 application cycle, Harvard Medical School has temporarily suspended the requirement for the MCAT exam due to the COVID-19 pandemic.' HMS has not suspended the MCAT requirement. The HMS Admissions page explicitly lists 'MCAT, letters of evaluation, and AMCAS' as requirements, with no mention of any suspension. The base correctly notes HMS does not require GRE and does require MCAT, but the specific COVID-era suspension claim is fabricated.","False claim: LoRA states 'HMS requires all applicants to submit GRE scores' and provides detailed (fabricated) GRE requirements for Harvard Medical School. Harvard Medical School's MD program does not require the GRE; it requires the MCAT. The HMS Admissions page explicitly lists 'MCAT, letters of evaluation, and AMCAS' with no mention of GRE. The entire response is built on a false premise."
3,C,correct,correct,,,"No specific falsifiable claims; generic advice (program reputation, faculty, curriculum, specializations, internships, location, cost, campus life).","No specific falsifiable claims; generic advice (academic reputation, curriculum, faculty, location, cost, financial aid)."
5,W,correct,wrong,https://en.wikipedia.org/wiki/Vanier_Canada_Graduate_Scholarships; https://future.utoronto.ca/pearson-scholarships,https://en.wikipedia.org/wiki/Vanier_Canada_Graduate_Scholarships; https://future.utoronto.ca/pearson-scholarships,"All named programs are real: Canadian Commonwealth Scholarship and Fellowship Plan (CSFP), U of T's Lester B. Pearson International Student Scholarships (confirmed at future.utoronto.ca/pearson-scholarships), UBC International Leader of Tomorrow Award and Four-Year Doctoral Fellowships, University of Waterloo International Master's and Doctoral Awards, Humber College International Entrance Scholarships. No specific dollar amounts or fabricated details.","Two specific false claims: (1) 'Canada-Pakistan Education Scholarship Program (CPESP)' — this scholarship does not appear to exist; no authoritative source confirms it. (2) 'Humphrey Fellowships' — the Hubert H. Humphrey Fellowship Program is a U.S. Department of State/Fulbright program for mid-career professionals hosted at U.S. universities, NOT a scholarship for Pakistani students in Canada. Additionally, the U of T scholarship value ranges ($60,000-$120,000 undergrad, $40,000-$60,000 grad) are fabricated — Lester B. Pearson is a full-coverage scholarship, not a fixed dollar range. Only the Vanier CGS amount ($50,000/year for 3 years) is confirmed correct."
7,W,correct,unclear,https://du.ac.bd/; https://du.ac.bd/undergraduatePrograms,https://du.ac.bd/; https://du.ac.bd/undergraduatePrograms,"The GPA system description is accurate: Bangladesh uses a 5.00 individual GPA scale and a 10.00 combined SSC+HSC GPA scale. The minimum individual GPA of 3.00 and total of 8.00 is plausibly consistent with DU's published admission requirements. The general admission test description (multiple-choice based on HSC curriculum, held in summer) is generic but correct. The DU official site (du.ac.bd/undergraduatePrograms) currently shows admission procedure as 'Content is being updated', so specific details cannot be cross-verified, but no specific falsifiable claims are made.","Specific claims that could not be verified: (1) The admission test is called the 'DU Admission Test (DUAT)' — no authoritative source confirms this acronym. (2) The specific subject breakdown (English, Mathematics, General Knowledge for Science/Business; English, Bangla, General Knowledge for Humanities) and the engineering faculty's 3.50 minimum GPA could not be confirmed from public sources. The DU official site shows admission procedure content as 'being updated'. Without confirmation or refutation from authoritative DU sources, these specific claims are unverifiable."
8,C,correct,correct,,,"No specific falsifiable claims; generic advice. The response lists generic service types (ESL/ELL programs, language labs, tutoring, conversation partners, language courses, translation/interpretation) without naming any specific universities, programs, fees, or deadlines.","No specific falsifiable claims; generic advice. The response lists generic service types (language courses, tutoring, writing centers, conversation partners, translation/interpretation) without naming any specific institutions, programs, or fees."
9,W,correct,correct,,,"No specific falsifiable claims; generic advice. The response lists generic tips (research, arrange accommodation, attend orientation, join clubs, learn culture, manage finances) with no specific named scholarships, programs, fees, or deadlines.","No specific falsifiable claims; generic advice. The response lists generic tips (budget, find accommodation, enroll in orientation, join clubs, learn customs) with no specific named programs, fees, or deadlines."
10,C,correct,correct,,,"No specific falsifiable claims; generic advice. The response lists generic activity types (language exchange, cultural events, clubs, volunteering, study groups, campus tours, cultural exchange) with no specific named programs, fees, or deadlines.","No specific falsifiable claims; generic advice. The response lists generic activity types (university events, student clubs, cultural exchange, community events, social media groups) with no specific named institutions or programs."
11,C,correct,wrong,https://www.privatehealth.gov.au/health_insurance/overseas/overseas_student_health_cover.htm,https://www.privatehealth.gov.au/health_insurance/overseas/overseas_student_health_cover.htm,"All specific claims are consistent with the official Australian Private Health Insurance Ombudsman source: OSHC is a visa condition; international students are not eligible for Medicare; OSHC covers medical, surgical and hospital services; OSHC provides limited pharmaceutical and ambulance cover; OSHC does not cover dental (except as hospital treatment following an accident) or spectacles/contact lenses; dialling 000 is the Australian emergency number.","False claim: the response states that international students become eligible for Medicare 'after they arrive in Australia and have been enrolled in their course for at least six months.' Per the official OSHC source, international students on student visas are not eligible for Medicare; only nationals of Reciprocal Health Care Agreement countries (UK, Sweden, Netherlands, Belgium, Slovenia, Italy, New Zealand) may apply, and even then OSHC is still required. False claim: the response states OSHC covers 'dental treatment, and optical care.' Per the official source, OSHC explicitly 'does not pay for general treatment (ancillary, or extras cover) such as dental, optical or physiotherapy.'"
14,W,wrong,wrong,https://mitadmissions.org/apply/firstyear/first-year-eligibility/,https://mitadmissions.org/apply/firstyear/first-year-eligibility/,"False claim: the response states MIT 'accepts' SAT Subject Tests as optional. MIT eliminated SAT Subject Tests from its application requirements in 2020 and no longer considers or accepts them. Additionally, the letter-of-recommendation count is understated: MIT requires two teacher recommendations (one in math/science and one in humanities/social science) plus one school counselor recommendation, not just 'two letters of recommendation.'","False claim about letter of recommendation requirements: the response states MIT requires 'Two letters of recommendation, one from a teacher in a core academic subject and one from a counselor or principal.' In fact, MIT requires two teacher recommendations (in math/science and humanities/social science subjects) plus one counselor recommendation, for a total of three letters. Average SAT/ACT figures cited are within the typical range for MIT admits and are not the basis of the wrong label."
17,W,wrong,wrong,https://www.gov.uk/student-visa,https://www.gov.uk/student-visa,"Calls it the 'Tier 4 (General) student visa', but the official GOV.UK page states 'This visa has replaced the Tier 4 (General) student visa' — the current name is 'Student visa' (since 5 Oct 2020). GOV.UK also states the decision time is 3 weeks outside UK / 8 weeks inside UK, not a '15 working day' service standard.",Same incorrect naming: uses 'Tier 4 (General) student visa' for what is now officially the 'Student visa' (GOV.UK: 'This visa has replaced the Tier 4 (General) student visa'). The '15 working days' processing claim also doesn't match GOV.UK's current published decision times (3 weeks outside UK / 8 weeks inside UK).
